Yaplakal.com,adm@yaplakal.com (ХохолУкраина),В Беларуси что-то пошло не так с COVID-19?,https://www.yaplakal.com/forum2/topic2102805.html,https://s00.yaplakal.com/pics/pics_original/4/9/0/14241094.jpg,2020-04-20T11:13:35Z,"С большой надеждой следил за статистикой из Беларуси, т.к. если бы она оказалась сопоставима с другими странами, это говорило бы о бесполезности карантина и скорой его отмене.Но почему-то с 18.04 Беларусь перестала подавать статистику по новым заболевшим. При…"
Kommersant.ru,,Минобороны Белоруссии: эпидситуация в стране позволяет провести парад Победы,https://www.kommersant.ru/doc/4326890,https://im.kommersant.ru/SocialPics/4326890_26_0_1309084353,2020-04-20T14:35:00Z,"Эпидемиологическая ситуация в Белоруссии в связи с пандемией коронавируса COVID-19 позволяет провести 9 мая парад Победы, сообщил министр обороны страны Виктор Хренин. Ранее в интернете появилась коллективная петиция против проведения запланированных мероприя…"
Korrespondent.net,1,Беларусь проведет парад на 9 мая,https://korrespondent.net/world/4219622-belarus-provedet-parad-na-9-maia,https://kor.ill.in.ua/m/190x120/2493463.jpg,2020-04-20T19:44:00Z,"Парад и репетиции отменять не собираются - это часть боевой подготовки армии, сообщили в ответ на петицию граждан."
Onliner.by,Onliner | Люди,Подтверждено: Беларусь получит от ЕС 60 миллионов евро на борьбу с COVID-19,https://people.onliner.by/2020/04/22/belarus-poluchit-ot-es-60-millionov-evro-na-borbu-s-covid-19,https://content.onliner.by/news/default/36bbe6f0c6529ca2fc444053b6eda389.jpeg,2020-04-22T16:15:26Z,Евросоюз в рамках глобальных мер реагирования на вспышку коронавируса сформировал пакет поддержки стран Восточного партнерства на общую сумму 80 миллионов евро для неотложных потребностей их систем здравоохранения и 883 миллиона евро на краткосрочные потребно…
Pravda.com.ua,ukrpravda@gmail.com (Украинская правда),ВОЗ призвала Беларусь ввести карантин,https://www.pravda.com.ua/rus/news/2020/04/21/7248830/,https://img.pravda.com/images/doc/9/5/9503a71-0.jpg,2020-04-21T20:17:12Z,"Всемирная организация здравоохранения призвала белорусское правительство ввести ограничительные меры, чтобы замедлить распространение коронавирусной инфекции COVID-19."
Korrespondent.net,1,ВОЗ проинспектировала Беларусь из-за отсутствия карантина,https://korrespondent.net/world/4219975-voz-proynspektyrovala-belarus-yz-za-otsutstvyia-karantyna,https://kor.ill.in.ua/m/190x120/2493839.jpg,2020-04-21T14:15:00Z,"На данный момент в Беларуси нет необходимости вводить самоизоляцию и отменять массовые мероприятия, считает Лукашенко."
Yandex.ru,,Россия поставит Белоруссии рис и гречку,https://yandex.ru/news/story/Rossiya_postavit_Belorussii_ris_i_grechku--f0960bc0583ac3d4beee922739d60b35?lang=ru&amp;stid=vxhcJpeJq9DNiyV_9sSb,https://avatars.mds.yandex.net/get-ynews/3125310/3b5a6af9cf6288ae0d3046cf8f25b3ae/563x304,2020-04-22T10:25:38Z,"Разговор шёл в том числе и о поставках российского продовольствия. Всего по состоянию на сегодня в Беларусь уже поставлено 2,756 тысячи тонн российской гречки. Ранее на сайте ИА REX: Россия поставит Белоруссии нефть «в полном объёме и на согласованных условия…"
Korrespondent.net,Корреспондент.net,Беларусь проведет парад 9 мая,https://korrespondent.net/world/4219622-belarus-provedet-parad-9-maia,https://kor.ill.in.ua/m/190x120/2493463.jpg,2020-04-20T19:44:00Z,"Парад и репетиции отменять не собираются - это часть боевой подготовки армии, сообщили в ответ на петицию граждан."
Rg.ru,,В Беларуси число заражений коронавирусом превысило шесть тысяч,https://rg.ru/2020/04/20/v-belarusi-chislo-zarazhenij-koronavirusom-prevysilo-shest-tysiach.html,https://rg.ru//cdnimg.rg.ru/img/content/186/77/17/form_photoreport_imageid_550119_0fda3f10789f52e1585921914_t_650x433.jpg,2020-04-20T15:19:00Z,"К большому сожалению, ВОЗ так и не удалось обнаружить на нашей планете островка безопасности в океане <a href=""https://rg.ru/sujet/covid-19/"">пандемии коронавируса</a>. Не стала исключением и 10-миллионная Беларусь, где к понедельнику, по данным минздрава рес…"
Rg.ru,,Создатели компьютерной игры обеспечили Беларусь медицинскими масками,https://rg.ru/2020/04/21/sozdateli-kompiuternoj-igry-obespechili-belarus-medicinskimi-maskami.html,https://rg.ru//cdnimg.rg.ru/img/content/186/82/81/World_of_Tanks_t_650x433.jpg,2020-04-21T10:25:00Z,Разработчики легендарной компьютерной игры World of Tanks передали министерству здравоохранения Республики Беларусь 700 тысяч медицинских масок высокого класса защиты.
News2.ru,BSlighter,"Модератор Мороk - за что бан, какие правила нарушены?",https://news2.ru/story/596872/,,2020-04-21T04:32:44Z,"Новость: Как задерживали украинских диверсантов в Крыму Комментарий:Когда речь идет о доморощенных террористах и диверсантах, всегда в конце всегда звучит фраза, что все нейтрализованы т.е. - ликвидированы. А бандэровские диверсанты только задержаны. Почему?!…"
Yaplakal.com,adm@yaplakal.com (ХохолУкраина),В Беларуси что-то пошло не так с COVID-19?,https://www.yaplakal.com/forum2/topic2102805.html,https://s00.yaplakal.com/pics/pics_original/4/9/0/14241094.jpg,2020-04-20T11:13:35Z,"С большой надеждой следил за статистикой из Беларуси, т.к. если бы она оказалась сопоставима с другими странами, это говорило бы о бесполезности карантина и скорой его отмене.Но почему-то с 18.04 Беларусь перестала подавать статистику по новым заболевшим. При…"
Yaplakal.com,adm@yaplakal.com (ХохолУкраина),В Беларуси что-то пошло не так с COVID-19?,https://www.yaplakal.com/forum2/topic2102805.html,https://s00.yaplakal.com/pics/pics_original/4/9/0/14241094.jpg,2020-04-20T11:13:35Z,"С большой надеждой следил за статистикой из Беларуси, т.к. если бы она оказалась сопоставима с другими странами, это говорило бы о бесполезности карантина и скорой его отмене.Но почему-то с 18.04 Беларусь перестала подавать статистику по новым заболевшим. При…"
Yaplakal.com,adm@yaplakal.com (ХохолУкраина),В Беларуси что-то пошло не так с COVID-19?,https://www.yaplakal.com/forum2/topic2102805.html,https://s00.yaplakal.com/pics/pics_original/4/9/0/14241094.jpg,2020-04-20T11:13:35Z,"С большой надеждой следил за статистикой из Беларуси, т.к. если бы она оказалась сопоставима с другими странами, это говорило бы о бесполезности карантина и скорой его отмене.Но почему-то с 18.04 Беларусь перестала подавать статистику по новым заболевшим. При…"
Yaplakal.com,adm@yaplakal.com (ХохолУкраина),В Беларуси что-то пошло не так с COVID-19?,https://www.yaplakal.com/forum2/topic2102805.html,https://s00.yaplakal.com/pics/pics_original/4/9/0/14241094.jpg,2020-04-20T11:13:35Z,"С большой надеждой следил за статистикой из Беларуси, т.к. если бы она оказалась сопоставима с другими странами, это говорило бы о бесполезности карантина и скорой его отмене.Но почему-то с 18.04 Беларусь перестала подавать статистику по новым заболевшим. При…"
Yaplakal.com,adm@yaplakal.com (ХохолУкраина),В Беларуси что-то пошло не так с COVID-19?,https://www.yaplakal.com/forum2/topic2102805.html,https://s00.yaplakal.com/pics/pics_original/4/9/0/14241094.jpg,2020-04-20T11:13:35Z,"С большой надеждой следил за статистикой из Беларуси, т.к. если бы она оказалась сопоставима с другими странами, это говорило бы о бесполезности карантина и скорой его отмене.Но почему-то с 18.04 Беларусь перестала подавать статистику по новым заболевшим. При…"
